"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.017051500E0,-2.426080672E-1,5.924790663E-1,-2.454222590E-1
3.037023500E0,-3.225503225E-1,1.550325496E0,-7.592363942E-1
3.056995500E0,1.812334259E-1,1.914845890E0,9.028627217E-1
3.076966500E0,6.211921842E-1,7.232771873E-1,2.521355057E0
3.096938500E0,4.895367151E-1,-3.500482428E-1,2.974579759E0
3.116910500E0,-1.271049466E-1,-7.865645260E-1,2.268804458E0
3.136882500E0,-5.902723271E-1,-9.790753305E-1,8.454278612E-1
3.156853500E0,-1.395345191E-1,-7.527375063E-1,2.415087175E-1
3.176825500E0,5.144414683E-1,-6.347453722E-1,7.867510521E-1
3.196797500E0,9.275579254E-1,-9.704293451E-1,1.290206845E0
3.216768500E0,9.639072146E-1,-1.411149484E0,7.429641777E-1
3.236740500E0,7.344242462E-1,-1.247961589E0,-6.754194814E-1
3.256712500E0,5.043520977E-1,-7.186309898E-1,-2.458007492E0
3.276683500E0,4.399052563E-1,-3.396378601E-1,-3.606263822E0
3.296656125E0,3.156676380E-1,6.923629582E-2,-3.673658829E0
3.316628125E0,1.095415188E-1,5.377687159E-1,-3.016672111E0
3.336600125E0,8.103729263E-3,4.952384081E-1,-1.960184323E0
3.356571125E0,-3.001741245E-2,2.055296302E-4,-9.418010849E-1
3.376543125E0,-2.530248088E-1,-5.647679418E-2,-2.377472037E-1
3.396515125E0,-3.604426188E-1,1.837265325E-1,1.979416984E-1
3.416486125E0,-1.420967324E-1,6.303848112E-1,8.646728021E-1
3.436458125E0,2.734144883E-1,9.363374466E-1,1.560719506E0
3.456430125E0,2.514943001E-1,9.273391664E-1,1.528008428E0
3.476401125E0,-1.579356337E-1,6.187099680E-1,1.117819818E0
3.496373125E0,-1.024253842E-1,2.973092812E-1,9.401276118E-1
3.516345125E0,-7.232328216E-1,5.442243344E-1,1.467021968E0
3.536317125E0,-1.368082109E0,1.048932601E0,1.168964828E0
3.556288125E0,-1.386603165E0,1.513759348E0,-4.305831134E-2
3.576260125E0,-4.612272743E-1,1.465052626E0,-1.011351961E-1
3.596232125E0,2.135689670E-1,1.648248231E-1,1.273034742E0
3.616203125E0,-2.267798737E-2,-7.382741261E-1,2.132193035E0
3.636175125E0,-4.507413894E-1,-7.230298501E-1,1.335637372E0
3.656147125E0,-7.098697411E-1,-9.152061939E-3,-2.025756168E-1
3.676118125E0,-4.950532707E-1,4.928085977E-1,-1.604740854E0
3.696090125E0,-2.531793945E-1,7.451405114E-1,-1.837655334E0
3.716062125E0,1.869039094E-1,5.175981608E-1,-8.099580663E-1
3.736034125E0,5.888445101E-1,-3.341865009E-1,1.770396566E-1
3.756005125E0,4.725673643E-1,-8.828132039E-1,2.053682470E-1
3.775977125E0,4.936698925E-1,-1.354190587E0,-6.417816192E-1
3.795949125E0,6.003121425E-1,-1.609928504E0,-1.575545706E0
3.815920125E0,7.066514336E-1,-1.431282617E0,-1.749751802E0
3.835892125E0,9.739932961E-1,-9.559931543E-1,-1.336028550E0
3.855864125E0,9.672709715E-1,-4.353778303E-1,-9.537334979E-1
3.875835125E0,4.946193342E-1,-2.660205379E-1,-4.498543668E-1
3.895807125E0,3.700654181E-1,-1.842676923E-1,-3.550142831E-1
3.915779125E0,5.712356932E-2,5.598080412E-1,-8.269588459E-1
3.935751125E0,-1.366097418E-1,1.350408023E0,-5.011607605E-1
3.955722125E0,-1.145981909E-1,1.573868725E0,1.736734146E-1
3.975694125E0,-1.401223835E-1,1.649265062E0,1.145421599E0
3.995666125E0,2.839558487E-1,1.248268275E0,2.198541391E0
4.015637125E0,2.879307676E-1,4.093395942E-1,2.931278788E0
4.035609125E0,-7.600986392E-1,1.234563571E-1,3.063317104E0
4.055581125E0,-1.264050349E0,4.042139250E-1,2.162909043E0
4.075552125E0,-7.829167405E-1,1.260156249E0,1.433710381E0
4.095524125E0,1.895621633E-1,1.098728659E0,1.528230622E0
4.115496125E0,6.374605268E-1,6.771368086E-2,1.492001274E0
4.135468125E0,4.182468771E-1,-1.097228848E0,2.009272867E-1
4.155439125E0,3.350999091E-2,-1.759413157E0,-1.283958510E0
4.175411125E0,-2.538300069E-2,-2.078942442E0,-2.076753829E0
4.195383125E0,3.094595030E-1,-1.877145674E0,-1.546585032E0
4.215354125E0,1.104986641E0,-1.796395626E0,-9.773492324E-1
4.235326125E0,1.615016751E0,-1.448165283E0,-1.287348726E0
4.255298125E0,1.612852111E0,-6.383966660E-1,-2.047870923E0
4.275269125E0,1.398242779E0,1.092347592E-1,-2.980523454E0
4.295241000E0,8.999324626E-1,2.580478594E-1,-3.256234290E0
4.315213000E0,6.542763881E-1,-8.713140696E-2,-2.934534518E0
4.335184000E0,2.912240108E-1,-5.430914363E-1,-2.756719521E0
4.355156000E0,-4.360567285E-1,-2.977820286E-1,-2.272385877E0
4.375128000E0,-2.794030604E-1,-5.040153712E-2,-1.871722382E0
