"Time (s)","latitude","longitude","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.637192702E1,6.500698201E1,2.558458572E1,1.838922730E1,1.603735299E0,9.428030693E1,4.747863425E0,3.358917971E0
6.737192428E1,6.500697836E1,2.558462276E1,1.934847592E1,1.594896342E0,1.005939593E2,4.727847436E0,3.387033460E0
6.837192249E1,6.500698212E1,2.558465590E1,1.915155120E1,1.512778949E0,8.843624607E1,4.727898991E0,3.386961494E0
6.937191951E1,6.500698514E1,2.558469305E1,1.914652355E1,1.594618669E0,8.327503236E1,4.727466462E0,3.387565184E0
7.037191761E1,6.500698698E1,2.558472771E1,1.937066114E1,1.524769616E0,8.166948518E1,4.727961887E0,3.386873696E0
7.137191451E1,6.500699064E1,2.558476036E1,1.931736196E1,1.522259770E0,7.927754809E1,4.728225511E0,3.386505655E0
7.237191236E1,6.500699016E1,2.558479545E1,1.964738389E1,1.540763926E0,8.607709180E1,4.729860129E0,3.384222243E0
7.337190974E1,6.500698577E1,2.558482654E1,1.946915890E1,1.511398245E0,9.615195047E1,4.732041896E0,3.381170881E0
7.437190795E1,6.500698164E1,2.558486107E1,1.962732432E1,1.551520967E0,1.006336471E2,4.733012303E0,3.379812357E0
7.537190545E1,6.500697919E1,2.558489628E1,1.980612943E1,1.541704988E0,1.015040914E2,4.734575360E0,3.377622417E0
7.637190247E1,6.500697458E1,2.558492916E1,1.995822933E1,1.524357692E0,1.031380021E2,4.735963384E0,3.375675911E0
7.737190080E1,6.500696518E1,2.558496065E1,1.991905467E1,1.525887538E0,1.104877871E2,4.736136409E0,3.375433149E0
7.837189806E1,6.500695810E1,2.558499698E1,1.987752571E1,1.542121654E0,1.094726247E2,4.735752840E0,3.375971279E0
7.937189603E1,6.500695286E1,2.558503188E1,2.025873386E1,1.536211437E0,1.081840528E2,4.736604454E0,3.374776331E0
8.037189436E1,6.500694669E1,2.558506360E1,2.039676865E1,1.541125688E0,1.098135143E2,4.735244650E0,3.376684045E0
8.137189174E1,6.500694401E1,2.558509897E1,2.016527545E1,1.537411015E0,1.068528612E2,4.733332339E0,3.379364142E0
8.237189043E1,6.500694295E1,2.558513401E1,2.022633596E1,1.540750761E0,1.009805755E2,4.732874303E0,3.380005601E0
8.337188768E1,6.500693837E1,2.558516487E1,2.035167314E1,1.539092736E0,1.049854512E2,4.732852928E0,3.380035532E0
8.437188566E1,6.500693565E1,2.558519520E1,2.036005877E1,1.539807339E0,1.057261425E2,4.731729568E0,3.381607951E0
8.537188411E1,6.500692869E1,2.558522584E1,2.027052494E1,1.551264064E0,1.116435348E2,4.730555625E0,3.383249992E0
8.637188184E1,6.500692761E1,2.558525955E1,2.078423179E1,1.528342923E0,1.081738459E2,4.729617387E0,3.384561479E0
8.737187958E1,6.500692672E1,2.558529240E1,2.077342570E1,1.547178391E0,1.030611066E2,4.726516611E0,3.388890343E0
8.837187755E1,6.500692791E1,2.558532825E1,2.052643957E1,1.569543072E0,9.660730249E1,4.727525649E0,3.387482586E0
8.937187600E1,6.500692432E1,2.558535796E1,2.072143976E1,1.549414737E0,1.015251245E2,4.724946243E0,3.391079479E0
9.037187433E1,6.500692285E1,2.558539338E1,2.092038231E1,1.550770826E0,9.739231031E1,4.726374439E0,3.389088623E0
9.137187195E1,6.500691856E1,2.558542511E1,2.092707747E1,1.541695385E0,1.026036873E2,4.726094130E0,3.389479504E0
9.237186921E1,6.500691335E1,2.558545776E1,2.101104266E1,1.551879003E0,1.083107773E2,4.724214426E0,3.392098920E0
9.337186730E1,6.500690916E1,2.558548725E1,2.092538256E1,1.531471763E0,1.082869402E2,4.724491925E0,3.391712411E0
9.437186563E1,6.500689492E1,2.558551079E1,2.090586270E1,1.546246916E0,1.251230571E2,4.726170595E0,3.389372883E0
9.537186384E1,6.500688001E1,2.558552162E1,2.096926572E1,1.540362284E0,1.434756374E2,4.726961205E0,3.388270178E0
9.637186122E1,6.500686331E1,2.558552356E1,2.096836360E1,1.515580821E0,1.610808067E2,4.724555299E0,3.391624133E0
9.737185955E1,6.500684815E1,2.558552146E1,2.121604519E1,1.521528008E0,1.719912972E2,4.725207431E0,3.390715525E0
9.837185740E1,6.500683206E1,2.558551169E1,2.094035149E1,1.572115052E0,1.842334699E2,4.724956238E0,3.391065553E0
9.937185574E1,6.500681946E1,2.558550690E1,2.096918008E1,1.545750906E0,1.881986145E2,4.722714824E0,3.394186460E0
